"pitcher","pos","IP/App","FB%","MPH","DIFF","AGG","WHIFF%","appearances"
"Angel Castro","RP",0.64,0.7628,93.9384705882353,11.6646134453782,0.133129615482557,0.1882,5
"Angel Nesbitt","RP",0.729166666666666,0.784,92.670139725041,8.18602218913779,0.195580166675935,0.174416666666667,24
"Anibal Sanchez","RP",1.5,0.5215,91.5222222222222,5.40277777777777,0.223809523809524,0.147,2
"Anibal Sanchez","SP",5.97179487179487,0.493858974358974,92.3808610246231,7.78263298557327,0.175771905525547,0.227089743589744,78
"Anthony Bass","RP",1.56025641025641,0.567141025641026,92.9178197110331,7.70536089548317,0.182628427135089,0.191269230769231,78
"Anthony DeSclafani","RP",1.025,0.677875,92.9288641152234,8.64682351693286,0.140077917771883,0.246,8
"Anthony DeSclafani","SP",5.68611111111111,0.635277777777778,92.4148960847109,7.9033745220099,0.186612834412895,0.188722222222222,36
"Anthony Ranaudo","RP",3.5,0.634,91.0837837837838,10.4972758472759,0.20642418516769,0.088,2
"Anthony Ranaudo","SP",5.08888888888889,0.655333333333333,91.3689895994242,11.7184573077025,0.189347944641752,0.116444444444444,9
"Anthony Recker","RP",1,0.188,87.5666666666667,3.45897435897436,0,0,1
"Anthony Swarzak","RP",1.57692307692308,0.663144230769231,92.0592537198658,8.94585481039364,0.196705089009793,0.164336538461538,104
"Anthony Swarzak","SP",4.325,0.71125,91.8958116673986,9.33985132871769,0.19790326040326,0.11275,4
"Anthony Varvaro","RP",0.927272727272727,0.640772727272727,92.642776447978,11.0087228485402,0.182906191963442,0.171045454545455,132
"Antonio Bastardo","RP",0.806043956043956,0.656730769230769,91.8845473518351,8.17876690456404,0.164984917464759,0.276379120879121,182
"Archie Bradley","SP",4.3125,0.735125,92.2394810574135,11.0476152266296,0.186386914553117,0.163375,8
"Ariel Pena","RP",3,0.768,92.0488372093023,9.08729874776385,0.303571428571429,0.095,1
"Ariel Pena","SP",4.66,0.5708,91.5822418851176,8.38223996974519,0.160350980437061,0.279,5
"Arnold Leon","RP",1.2578947368421,0.583,91.7642823908438,12.6599982702517,0.176812287824278,0.196894736842105,19
"Arodys Vizcaino","RP",0.892682926829268,0.709975609756098,97.1902166880763,12.5211078144937,0.183838709426822,0.221707317073171,41
"Aroldis Chapman","RP",0.955614973262032,0.76224064171123,99.2257867013453,11.7976693803234,0.181905099742334,0.402540106951872,187
"Arquimedes Caminero","RP",0.957608695652174,0.694858695652174,97.2528564044128,7.85937065405206,0.225816860400652,0.221597826086957,92
"Asher Wojciechowski","RP",2.05,0.8585,91.55,10.4088235294118,0.575,0.091,2
"Asher Wojciechowski","SP",4,0.665,90.32566822749,9.06054542047245,0.229743889321613,0.137666666666667,3
"Austin Adams","RP",1.03235294117647,0.752676470588235,96.602234480651,8.95071585617782,0.205708839368329,0.168294117647059,34
"Barry Enright","RP",1.15,0.613,89.5571428571428,8.82214285714285,0.130952380952381,0.2,2
"Barry Enright","SP",2.55,0.6295,90.8388111888112,10.1982581934195,0.131762917933131,0.1265,2
"Barry Zito","RP",1.01666666666667,0.6115,82.7630944749695,10.8531494200244,0.13992673992674,0.220666666666667,6
"Barry Zito","SP",4.74814814814815,0.685555555555556,81.9362748294088,9.39018703323818,0.156293946908938,0.165222222222222,27
"Bartolo Colon","RP",1.05555555555556,0.838555555555556,88.9513572984749,6.27401354847494,0.196015281015281,0.130777777777778,9
"Bartolo Colon","SP",6.21290322580645,0.83094623655914,88.9334068221565,6.84971458146489,0.214131406848828,0.128397849462366,93
"Ben Rowen","RP",0.8375,0.719375,79.0296282051282,7.1505657051282,0.154532722179781,0.160375,8
"Billy Buckner","RP",1.82,0.615,86.3495634920635,7.1528492063492,0.206840342755836,0.1206,5
"Billy Buckner","SP",4.13333333333333,0.555666666666667,87.0322604540024,8.12367035920541,0.147341306824065,0.103666666666667,3
"B.J. Rosenberg","RP",0.745714285714286,0.609542857142857,93.5013539579919,10.3768502949882,0.160022697604512,0.213285714285714,35
"Blaine Boyer","RP",0.922,0.65275,92.8819182212231,10.8051436899125,0.204629501022521,0.167040404040404,100
"Blaine Hardy","RP",0.763888888888889,0.584046296296296,87.2933378218271,9.25557249727748,0.209177332218356,0.194738317757009,108
"Blake Beavan","RP",2.83,0.4812,89.6620140759653,11.2688396165538,0.198025127046866,0.1961,10
